file,regione,Minori (0-17 anni),Anziani (65 anni e più),Persone con disabilità,Ospiti con problemi di salute mentale,Altra utenza,Non indicato,descrizione,anno,gerarchia
g1UP091FC09OG2000000,Italia,26215,314061,33886,17799,37154,107,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori assoluti),2009,nazionale
g1UP091FI09OG2000000,Italia,256.3,2572.9,70.4,29.5,61.6,0.2,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori per centomila),2009,nazionale
g1UQ091FC09OG2000000,Italia,24580,310469,34737,19780,35038,101,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori assoluti),2010,nazionale
g1UQ091FI09OG2000000,Italia,240.3,2523.8,71.9,32.6,57.8,0.2,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori per centomila),2010,nazionale
g1UR091FC09OG2000000,Italia,18579,285540,31448,19431,31620,185,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori assoluti),2011,nazionale
g1UR091FI09OG2000000,Italia,185.8,2308.2,66.9,32.7,53.2,0.3,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori per centomila),2011,nazionale
g1US091FC09OG2000000,Italia,16036,278392,29327,18168,29336,1703,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori assoluti),2012,nazionale
g1US091FI09OG2000000,Italia,160,2202.5,62.3,30.4,49.2,2.9,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori per centomila),2012,nazionale
g1UT091FC09OG2000000,Italia,18857,240044,32330,15541,76731,947,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori assoluti),2013,nazionale
g1UT091FI09OG2000000,Italia,185.6,1844.4,67.7,25.6,126.2,1.6,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori per centomila),2013,nazionale
g1UU091FC09OG2000000,Italia,19029,291375,32648,18046,37879,648,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori assoluti),2014,nazionale
g1UU091FI09OG2000000,Italia,188.5,2204.2,68.6,29.7,62.3,1.1,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori per centomila),2014,nazionale
g1UV091FC09OG2000000,Italia,19110,286892,31134,16229,37041,282,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori assoluti),2015,nazionale
g1UV091FI09OG2000000,Italia,190.9,2145.8,65.8,26.8,61.1,0.5,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori per centomila),2015,nazionale
g1V0091FC09OG2000000,Italia,21229,301020,35481,19294,35933,13,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori assoluti),2016,nazionale
g1V0091FI09OG2000000,Italia,214.2,2225.1,75.4,31.8,59.3,..,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori per centomila),2016,nazionale
g1V1091FC09OG2000000,Italia,23071,304832,31706,18786,34028,95,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori assoluti),2017,nazionale
g1V1091FI09OG2000000,Italia,235.3,2234.1,85.6,31.1,56.3,0.2,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori per centomila),2017,nazionale
g1V2091FC09OG2000000,Italia,22616,312656,32499,18715,33842,0,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori assoluti),2018,nazionale
g1V2091FI09OG2000000,Italia,236.2,2283.3,88.9,31.3,56.6,0,Posti letto nei presidi residenziali socio-assistenziali e socio-sanitari per target di utenza prevalente (valori per centomila),2018,nazionale
