anno,Limitazioni gravi,Limitazioni non gravi,Senza limitazioni,Non indicato,Totale,file,tavola,pagina,regione
2009,3.3,14,76,6.7,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Piemonte
2010,3.6,12.4,76.1,7.8,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Piemonte
2011,3.9,12.5,75.5,8.1,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Piemonte
2012,3.3,13.5,75.6,7.7,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Piemonte
2013,3.5,13.8,75.5,7.2,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Piemonte
2014,4.2,13.5,76.2,6.2,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Piemonte
2015,4,14.2,76.6,5.2,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Piemonte
2016,4.2,15,75.5,5.2,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Piemonte
2017,4.9,15.2,75.2,4.7,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Piemonte
2018,4.2,15.4,76.5,3.9,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Piemonte
2019,4.1,15.1,76.3,4.4,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Piemonte
2009,5.3,16.7,71.8,6.3,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Piemonte
2010,4.7,16.4,70.6,8.3,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Piemonte
2011,4.2,16.1,70.8,8.9,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Piemonte
2012,4.9,15.3,71.5,8.3,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Piemonte
2013,5.3,15.8,71,7.9,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Piemonte
2014,5.2,16.6,72.3,5.9,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Piemonte
2015,4.6,17.8,73,4.6,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Piemonte
2016,4.9,18,71.8,5.4,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Piemonte
2017,5.9,17.5,71.8,4.8,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Piemonte
2018,6.2,19.4,70.9,3.5,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Piemonte
2019,5.5,19.6,71.1,3.8,100,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Piemonte
2009,#,#,#,#,#,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,non indicato,Piemonte
2010,#,#,#,#,#,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,non indicato,Piemonte
2011,#,#,#,#,#,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,non indicato,Piemonte
2012,#,#,#,#,#,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,non indicato,Piemonte
2013,#,#,#,#,#,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,non indicato,Piemonte
2014,#,#,#,#,#,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,non indicato,Piemonte
2015,#,#,#,#,#,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,non indicato,Piemonte
2016,#,#,#,#,#,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,non indicato,Piemonte
2017,#,#,#,#,#,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,non indicato,Piemonte
2018,#,#,#,#,#,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,non indicato,Piemonte
2019,#,#,#,#,#,g1V30927R09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,non indicato,Piemonte
