file,scelta,Infanzia,Primaria,Secondaria primo grado,Secondaria secondo grado,Totale,descrizione,anno,gerarchia
g1UQ091LP09OG200000000,Presenza,,67.4,73.6,,69.3,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2010,regionale
g1UQ091LP09OG200000000,Assenza,,26.9,20.3,,24.9,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2010,regionale
g1UQ091LP09OG200000000,Non risponde,,5.7,6,,5.8,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2010,regionale
g1UQ091M909OG200000000,Presenza,,58.2,67.3,,60.6,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2010,regionale
g1UQ091M909OG200000000,Assenza,,28.8,25.3,,27.9,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2010,regionale
g1UQ091M909OG200000000,Non risponde,,13,7.4,,11.5,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2010,regionale
g1UQ091LP09OG300000000,Presenza,,67.6,74.5,,69.7,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2010,provinciale
g1UQ091LP09OG300000000,Assenza,,24.8,17.3,,22.5,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2010,provinciale
g1UQ091LP09OG300000000,Non risponde,,7.6,8.2,,7.8,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2010,provinciale
g1UQ091M909OG300000000,Presenza,,58.2,66.6,,60.4,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2010,provinciale
g1UQ091M909OG300000000,Assenza,,26.2,23,,25.4,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2010,provinciale
g1UQ091M909OG300000000,Non risponde,,15.6,10.3,,14.2,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2010,provinciale
g1UR091LP09OG200000000,Presenza,,61.7,66.3,,62.8,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2011,regionale
g1UR091LP09OG200000000,Assenza,,29.2,21.5,,27.4,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2011,regionale
g1UR091LP09OG200000000,Non risponde,,9.1,12.2,,9.9,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2011,regionale
g1UR091M909OG200000000,Presenza,,60.1,64.7,,61.1,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2011,regionale
g1UR091M909OG200000000,Assenza,,29.2,21.6,,27.6,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2011,regionale
g1UR091M909OG200000000,Non risponde,,10.8,13.6,,11.4,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2011,regionale
g1UR091LP09OG300000000,Presenza,,59.8,71.5,,62.8,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2011,provinciale
g1UR091LP09OG300000000,Assenza,,29.7,17.3,,26.5,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2011,provinciale
g1UR091LP09OG300000000,Non risponde,,10.5,11.2,,10.7,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2011,provinciale
g1UR091M909OG300000000,Presenza,,61.6,66.5,,62.7,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2011,provinciale
g1UR091M909OG300000000,Assenza,,26.6,20,,25,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2011,provinciale
g1UR091M909OG300000000,Non risponde,,11.9,13.5,,12.3,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2011,provinciale
g1US091LP09OG200000000,Presenza,,63.9,70.4,,66,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2012,regionale
