anno,Infanzia,Primaria,Secondaria primo grado,Secondaria secondo grado,Totale,file,foglio
2007,1.1,2.5,3.3,1.5,2.1,g1V30918309OG0000000_st,Tavola
2008,1.1,2.5,3.2,1.6,2.1,g1V30918309OG0000000_st,Tavola
2009,1.2,2.5,3.2,1.7,2.2,g1V30918309OG0000000_st,Tavola
2010,1.2,2.6,3.3,1.7,2.2,g1V30918309OG0000000_st,Tavola
2011,1.2,2.8,3.4,1.8,2.3,g1V30918309OG0000000_st,Tavola
2012,1.2,2.9,3.5,1.9,2.4,g1V30918309OG0000000_st,Tavola
2013,1.3,3,3.7,2,2.5,g1V30918309OG0000000_st,Tavola
2014,1.3,3,3.8,2.1,2.6,g1V30918309OG0000000_st,Tavola
2015,1.4,3.1,3.8,2.2,2.7,g1V30918309OG0000000_st,Tavola
2016,1.5,3.2,3.9,2.3,2.8,g1V30918309OG0000000_st,Tavola
2017,1.9,3.3,4,2.5,2.9,g1V30918309OG0000000_st,Tavola
2018,2.1,3.5,4.1,2.6,3.1,g1V30918309OG0000000_st,Tavola
2019,2.4,3.8,4.2,2.7,3.3,g1V30918309OG0000000_st,Tavola
