anno,Statale,Non statale,Totale,file,foglio
2007,2.3,1.1,2.1,g1V30918209OG0000000_st,Tavola
2008,2.3,1.1,2.1,g1V30918209OG0000000_st,Tavola
2009,2.3,1.2,2.2,g1V30918209OG0000000_st,Tavola
2010,2.4,1.3,2.2,g1V30918209OG0000000_st,Tavola
2011,2.5,1.4,2.3,g1V30918209OG0000000_st,Tavola
2012,2.6,1.4,2.4,g1V30918209OG0000000_st,Tavola
2013,2.7,1.5,2.5,g1V30918209OG0000000_st,Tavola
2014,2.7,1.3,2.6,g1V30918209OG0000000_st,Tavola
2015,2.8,1.4,2.7,g1V30918209OG0000000_st,Tavola
2016,2.9,1.5,2.8,g1V30918209OG0000000_st,Tavola
2017,3.1,1.6,2.9,g1V30918209OG0000000_st,Tavola
2018,3.3,1.7,3.1,g1V30918209OG0000000_st,Tavola
2019,3.5,1.9,3.3,g1V30918209OG0000000_st,Tavola
