anno,Limitazioni gravi,Limitazioni non gravi,Senza limitazioni,Non indicato,Totale,file,tavola,pagina,regione
2009,527,2028,26606,2997,32159,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,0-44 anni,Nazione Italia
2010,527,1936,26328,3263,32054,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,0-44 anni,Nazione Italia
2011,479,1844,26087,3192,31603,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,0-44 anni,Nazione Italia
2012,443,1747,25925,2997,31113,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,0-44 anni,Nazione Italia
2013,420,1697,26161,2823,31102,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,0-44 anni,Nazione Italia
2014,408,1766,26278,2610,31063,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,0-44 anni,Nazione Italia
2015,442,1831,25823,2478,30574,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,0-44 anni,Nazione Italia
2016,471,1822,25479,2250,30022,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,0-44 anni,Nazione Italia
2017,430,1833,25484,1824,29570,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,0-44 anni,Nazione Italia
2018,381,1861,25310,1579,29132,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,0-44 anni,Nazione Italia
2019,393,1871,24840,1601,28705,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,0-44 anni,Nazione Italia
2009,626,2795,10909,1150,15480,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,45-64 anni,Nazione Italia
2010,669,2803,11096,1254,15821,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,45-64 anni,Nazione Italia
2011,629,2806,11383,1357,16175,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,45-64 anni,Nazione Italia
2012,626,2775,11716,1332,16450,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,45-64 anni,Nazione Italia
2013,638,2840,11887,1315,16680,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,45-64 anni,Nazione Italia
2014,648,2952,12036,1250,16885,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,45-64 anni,Nazione Italia
2015,681,2973,12274,1166,17094,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,45-64 anni,Nazione Italia
2016,660,2962,12628,1055,17305,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,45-64 anni,Nazione Italia
2017,718,3067,12833,880,17499,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,45-64 anni,Nazione Italia
2018,739,3269,12862,839,17709,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,45-64 anni,Nazione Italia
2019,750,3237,13002,904,17893,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,45-64 anni,Nazione Italia
2009,651,2012,3318,383,6364,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,65-74 anni,Nazione Italia
