anno,Limitazioni gravi,Limitazioni non gravi,Senza limitazioni,Non indicato,Totale,file,tavola,pagina,regione
2009,3,9,44,6,62,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Valle d'Aosta / Vallée d'Aoste
2010,3,9,45,5,62,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Valle d'Aosta / Vallée d'Aoste
2011,3,8,46,5,62,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Valle d'Aosta / Vallée d'Aoste
2012,2,7,47,5,62,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Valle d'Aosta / Vallée d'Aoste
2013,3,8,46,5,62,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Valle d'Aosta / Vallée d'Aoste
2014,2,9,47,5,63,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Valle d'Aosta / Vallée d'Aoste
2015,2,9,47,4,62,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Valle d'Aosta / Vallée d'Aoste
2016,2,10,46,4,62,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Valle d'Aosta / Vallée d'Aoste
2017,2,10,47,3,62,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Valle d'Aosta / Vallée d'Aoste
2018,3,8,48,3,61,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Valle d'Aosta / Vallée d'Aoste
2019,3,8,47,3,61,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Valle d'Aosta / Vallée d'Aoste
2009,3,11,43,6,64,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Valle d'Aosta / Vallée d'Aoste
2010,3,11,45,5,64,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Valle d'Aosta / Vallée d'Aoste
2011,3,11,45,5,65,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Valle d'Aosta / Vallée d'Aoste
2012,3,11,45,7,65,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Valle d'Aosta / Vallée d'Aoste
2013,3,11,45,6,65,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Valle d'Aosta / Vallée d'Aoste
2014,3,11,47,5,66,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Valle d'Aosta / Vallée d'Aoste
2015,4,11,47,4,66,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Valle d'Aosta / Vallée d'Aoste
2016,4,11,45,4,65,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Valle d'Aosta / Vallée d'Aoste
2017,3,10,48,3,65,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Valle d'Aosta / Vallée d'Aoste
2018,4,11,47,3,64,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Valle d'Aosta / Vallée d'Aoste
2019,3,12,45,4,64,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Valle d'Aosta / Vallée d'Aoste
2009,0,0,0,0,0,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Valle d'Aosta / Vallée d'Aoste
2010,0,0,0,0,0,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Valle d'Aosta / Vallée d'Aoste
2011,0,0,0,0,0,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Valle d'Aosta / Vallée d'Aoste
2012,0,0,0,0,0,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Valle d'Aosta / Vallée d'Aoste
