anno,Limitazioni gravi,Limitazioni non gravi,Senza limitazioni,Non indicato,Totale,file,tavola,pagina,regione
2009,1242,3924,21385,2342,28892,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Nazione Italia
2010,1295,3838,21349,2578,29060,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Nazione Italia
2011,1264,3767,21372,2615,29018,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Nazione Italia
2012,1213,3683,21581,2488,28964,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Nazione Italia
2013,1212,3814,21824,2383,29233,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Nazione Italia
2014,1269,3950,22037,2216,29472,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Nazione Italia
2015,1328,3993,22060,2064,29445,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Nazione Italia
2016,1282,4032,22169,1888,29370,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Nazione Italia
2017,1258,4164,22341,1579,29342,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Nazione Italia
2018,1259,4385,22266,1417,29327,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Nazione Italia
2019,1313,4327,22149,1508,29297,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Nazione Italia
2009,1789,5066,21266,2419,30539,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Nazione Italia
