anno,Limitazioni gravi,Limitazioni non gravi,Senza limitazioni,Non indicato,Totale,file,tavola,pagina,regione
2009,4.3,13.6,74,8.1,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Nazione Italia
2010,4.5,13.2,73.5,8.9,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Nazione Italia
2011,4.4,13,73.7,9,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Nazione Italia
2012,4.2,12.7,74.5,8.6,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Nazione Italia
2013,4.1,13,74.7,8.2,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Nazione Italia
2014,4.3,13.4,74.8,7.5,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Nazione Italia
2015,4.5,13.6,74.9,7,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Nazione Italia
2016,4.4,13.7,75.5,6.4,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Nazione Italia
2017,4.3,14.2,76.1,5.4,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Nazione Italia
2018,4.3,15,75.9,4.8,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Nazione Italia
2019,4.5,14.8,75.6,5.1,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,maschi,Nazione Italia
2009,5.9,16.6,69.6,7.9,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Nazione Italia
2010,5.9,16.4,69,8.7,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Nazione Italia
2011,5.7,16.2,69.2,9,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Nazione Italia
2012,5.7,16.1,69.6,8.6,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Nazione Italia
2013,5.7,16,69.8,8.4,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Nazione Italia
2014,5.7,16.4,69.9,7.9,100,g1V30927R09OG000000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per sesso,femmine,Nazione Italia
